Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,IATA,Latitude,Longitude
MDT,MDT,11,37,6,0.378682,0.418549,77.912948,0.03327,0.03327,0,MDT,40.1935005188,-76.7633972168
FMN,FMN,3,18,6,0.33877,0.363457,21.567852,0.004072,0.004072,2,FMN,36.7411994934,-108.230003357
EWN,EWN,2,10,6,0.320665,0.354969,0.0,0.007916,0.007916,0,EWN,35.0730018616,-77.04290008539998
FAY,FAY,4,16,6,0.323547,0.360833,0.151793,0.014308,0.014308,0,FAY,34.9911994934082,-78.88030242919922
KTN,KTN,7,27,5,0.330477,0.350463,2301.633807,0.002749,0.002749,11,KTN,55.35559845,-131.7140045
FNT,FNT,8,26,6,0.361688,0.396944,0.016949,0.027338,0.027338,0,FNT,42.96540069580078,-83.74359893798828
FSM,FSM,2,10,6,0.326679,0.364228,0.0,0.008142,0.008142,6,FSM,35.33660125732422,-94.36740112304688
ALS,ALS,2,12,6,0.338558,0.362531,0.0,0.004005,0.004005,2,ALS,37.434898,-105.866997
MFR,MFR,7,18,5,0.35976,0.388735,0.0,0.021144,0.021144,2,MFR,42.37419891357422,-122.8730010986328
DAB,DAB,2,10,6,0.320665,0.354969,0.0,0.007916,0.007916,0,DAB,29.179899,-81.058098
CSG,CSG,1,6,6,0.319149,0.351883,0.0,0.004225,0.004225,0,CSG,32.516300201416016,-84.93890380859375
SAF,SAF,3,12,6,0.35225,0.38213,0.0,0.010991,0.010991,2,SAF,35.617099761999995,-106.088996887
CHO,CHO,6,26,6,0.352711,0.385062,0.0,0.021166,0.021166,0,CHO,38.13859939575195,-78.4529037475586
BTR,BTR,4,16,6,0.329469,0.369784,0.0,0.01531,0.01531,6,BTR,30.533199,-91.149597
DSM,DSM,17,57,6,0.385439,0.429969,171.291292,0.050855,0.050855,6,DSM,41.53400039672852,-93.66310119628906
ECP,ECP,5,14,6,0.32316,0.360833,0.0,0.014573,0.014573,0,ECP,30.357106,-85.79541400000001
BMI,BMI,8,24,6,0.377622,0.415617,38.406989,0.02741,0.02741,6,BMI,40.47710037,-88.91590118
DHN,DHN,1,6,6,0.319149,0.351883,0.0,0.004225,0.004225,0,DHN,31.3213005065918,-85.44960021972656
BQK,BQK,1,6,6,0.319149,0.351883,0.0,0.004225,0.004225,0,BQK,31.2588005065918,-81.46649932861328
CWA,CWA,3,10,6,0.346154,0.373488,0.0,0.011611,0.011611,0,CWA,44.7775993347,-89.6668014526
GRB,GRB,4,16,6,0.35503,0.385988,0.0,0.015836,0.015836,0,GRB,44.48509979248047,-88.12960052490234
PHF,PHF,5,18,6,0.365112,0.398642,20.605589,0.015789,0.015789,0,PHF,37.13190079,-76.49299622
FAR,FAR,10,28,6,0.380282,0.419784,129.851621,0.027673,0.027673,6,FAR,46.92070007324219,-96.81580352783205
ANC,ANC,34,118,4,0.444811,0.48071,47902.710616,0.031062,0.031062,3,ANC,61.17440032958984,-149.99600219726562
FSD,FSD,9,26,6,0.377887,0.416389,96.088174,0.024881,0.024881,6,FSD,43.5820007324,-96.741897583
OAJ,OAJ,3,14,6,0.321237,0.356512,0.0,0.011207,0.011207,0,OAJ,34.8292007446,-77.61209869380002
GRR,GRR,20,56,6,0.389329,0.436142,191.653842,0.05774,0.05774,0,GRR,42.88079834,-85.52279663
MSN,MSN,11,34,6,0.378151,0.418086,0.372685,0.037995,0.037995,0,MSN,43.13990020751953,-89.3375015258789
PIA,PIA,10,30,6,0.378151,0.417623,94.240321,0.028287,0.028287,6,PIA,40.664199829100006,-89.6932983398
CYS,CYS,2,12,6,0.338558,0.362531,539.0,0.003919,0.003919,2,CYS,41.15570068,-104.8119965
WRL,WRL,1,6,7,0.253046,0.263258,0.0,8.4e-05,8.4e-05,2,WRL,43.9656982421875,-107.95099639892578
SBN,SBN,9,22,6,0.366102,0.402654,88.279489,0.021046,0.021046,6,SBN,41.70869827270508,-86.31729888916016
SGF,SGF,9,28,6,0.376045,0.414228,114.215267,0.021419,0.021419,6,SGF,37.24570084,-93.38860321
SHV,SHV,5,16,6,0.365359,0.399259,0.0,0.019196,0.019196,6,SHV,32.446602,-93.8256
PVD,PVD,19,55,6,0.372671,0.417315,6.170715,0.058768,0.058768,0,PVD,41.732601,-71.42040300000001
TLH,TLH,7,30,6,0.331492,0.374259,0.016949,0.023695,0.023695,0,TLH,30.396499633789062,-84.35030364990234
TRI,TRI,4,14,6,0.325497,0.363302,10.666429,0.008856,0.008856,0,TRI,36.475201,-82.40740100000001
EUG,EUG,9,27,5,0.361204,0.391821,22.979567,0.022842,0.022842,2,EUG,44.12459945678711,-123.21199798583984
VLD,VLD,1,6,6,0.319149,0.351883,0.0,0.004225,0.004225,0,VLD,30.78249931335449,-83.27670288085938
MOB,MOB,5,18,6,0.355731,0.388457,0.0,0.01946,0.01946,6,MOB,30.691200256348,-88.242797851562
GRK,GRK,3,12,6,0.327869,0.366698,0.0,0.011619,0.011619,6,GRK,31.067199707,-97.8289031982
GTR,GTR,1,6,6,0.319149,0.351883,0.0,0.004225,0.004225,0,GTR,33.450298309299995,-88.59140014649999
LFT,LFT,3,12,6,0.327869,0.366698,0.0,0.011619,0.011619,6,LFT,30.20529938,-91.98760223
FAI,FAI,18,42,4,0.357143,0.382407,10216.811046,0.003392,0.003392,3,FAI,64.81510162,-147.85600280000003
