Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
EAT,EAT,1,2,5,0.326679,0.340895,0,0.002668,0.002668,2
IRK,IRK,1,2,6,0.299667,0.319938,0,0.002679,0.002679,0
ALW,ALW,1,2,5,0.326679,0.340895,0,0.002668,0.002668,2
ADK,ADK,1,2,5,0.308043,0.319259,0,0.000669,0.000669,3
SPI,SPI,4,5,6,0.351334,0.381821,20.982183,0.008899,0.008899,6
UIN,UIN,1,2,6,0.299667,0.319938,0,0.002679,0.002679,0
TBN,TBN,1,2,6,0.299667,0.319938,0,0.002679,0.002679,0
MWA,MWA,1,2,6,0.299667,0.319938,0,0.002679,0.002679,0
ILG,ILG,6,12,6,0.353403,0.384907,0.050282,0.018283,0.018283,0
TTN,TTN,14,28,6,0.331085,0.378272,540.109893,0.036705,0.036705,0
AZA,AZA,32,64,6,0.34264,0.386142,802.603473,0.017206,0.017206,6
UST,UST,1,2,7,0.248848,0.267804,0,0.00079,0.00079,0
VEL,VEL,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
TWF,TWF,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
PIH,PIH,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
BLV,BLV,1,2,7,0.242261,0.264378,0,0.000593,0.000593,6
OGD,OGD,1,2,7,0.255319,0.270511,0,0.00037,0.00037,6
RHI,RHI,2,4,6,0.33068,0.351574,0,0.003783,0.003783,2
PLN,PLN,1,2,6,0.310881,0.33892,0,0.003758,0.003758,0
EKO,EKO,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
IMT,IMT,2,4,6,0.33068,0.351574,0,0.003783,0.003783,2
HIB,HIB,1,2,6,0.330477,0.350648,0,0.003702,0.003702,2
CEM,CEM,2,2,5,0.263415,0.273148,0,0.000075,0.000075,3
KLN,KLN,2,2,6,0.236427,0.243549,539,0.000014,0.000014,3
KYK,KYK,1,1,7,0.191286,0.195401,0,0,0,3
SCM,SCM,3,3,6,0.240749,0.253364,0,0.000015,0.000015,3
MLY,MLY,1,1,5,0.263286,0.272222,0,0.000073,0.000073,3
IRC,IRC,2,2,5,0.263415,0.273148,0,0.000075,0.000075,3
SLQ,SLQ,1,1,6,0.237467,0.244938,0,0.000015,0.000015,3
TLJ,TLJ,1,1,6,0.236842,0.243395,0,0.000015,0.000015,3
MYU,MYU,2,2,6,0.240642,0.252438,0,0.000015,0.000015,3
KUK,KUK,1,1,6,0.240535,0.251512,0,0.000015,0.000015,3
KYU,KYU,4,4,5,0.264059,0.275926,400.933333,0.000075,0.000075,3
WNA,WNA,2,2,6,0.240642,0.252438,0,0.000015,0.000015,3
PKA,PKA,2,2,6,0.240642,0.252438,0,0.000015,0.000015,3
PTU,PTU,1,1,6,0.240535,0.251512,0,0.000015,0.000015,3
CHU,CHU,1,1,6,0.237467,0.244938,0,0.000015,0.000015,3
LUR,LUR,1,1,6,0.239256,0.248395,0,0.000015,0.000015,3
EGX,EGX,2,2,6,0.23705,0.245154,0,0.000015,0.000015,3
